createdAt,side,liquidity,type,market,price,size,fee
"2023-11-09T10:05:54.651Z","SELL","TAKER","MARKET","BTC-USD","36781","0.15","2.758575"
"2023-11-09T07:43:35.546Z","SELL","TAKER","MARKET","BTC-USD","36619","0.1489","2.726284"
"2023-11-09T07:43:35.546Z","SELL","TAKER","MARKET","BTC-USD","36619","0.0011","0.02014"
"2023-11-09T07:43:13.998Z","BUY","TAKER","MARKET","ETH-USD","1913.4","0.15","0.143505"
"2023-11-09T02:29:52.322Z","SELL","TAKER","MARKET","ETH-USD","1919.9","0.15","0.143992"
"2023-11-07T17:44:07.119Z","BUY","TAKER","MARKET","BTC-USD","34821","0.35","6.093675"
"2023-11-07T15:45:26.843Z","SELL","MAKER","LIMIT","BTC-USD","34669","0.29","2.010802"
"2023-11-07T15:45:26.776Z","SELL","MAKER","LIMIT","BTC-USD","34669","0.06","0.416028"
"2023-11-03T09:25:40.833Z","SELL","TAKER","MARKET","BTC-USD","34301","0.2836","4.863881"
"2023-11-03T09:25:40.833Z","SELL","TAKER","MARKET","BTC-USD","34303","0.0164","0.281284"
"2023-11-03T08:51:17.544Z","BUY","TAKER","MARKET","BTC-USD","34404","0.3","5.1606"
"2023-11-03T08:38:00.407Z","BUY","TAKER","MARKET","BTC-USD","34514","0.2631","4.540316"
"2023-11-03T08:38:00.407Z","BUY","TAKER","MARKET","BTC-USD","34514","0.0869","1.499633"
"2023-11-03T02:55:26.047Z","SELL","MAKER","LIMIT","BTC-USD","34666","0.2717","1.88375"
"2023-11-03T02:55:25.741Z","SELL","MAKER","LIMIT","BTC-USD","34666","0.0783","0.542869"
"2023-11-03T02:40:26.226Z","SELL","TAKER","MARKET","BTC-USD","34661","0.15","2.599575"
"2023-11-03T00:56:55.310Z","SELL","TAKER","STOP_MARKET","ETH-USD","1782","1.5","1.3365"
"2023-11-03T00:56:55.305Z","SELL","TAKER","STOP_MARKET","ETH-USD","1782","1.5","1.3365"
"2023-11-02T20:03:27.701Z","BUY","TAKER","MARKET","ETH-USD","1810.9","1.5","1.358175"
"2023-11-02T17:40:00.441Z","BUY","TAKER","MARKET","BTC-USD","34681","0.15","2.601075"
"2023-11-02T17:38:31.209Z","BUY","TAKER","MARKET","BTC-USD","34685","0.3701","6.418459"
"2023-11-02T17:38:31.209Z","BUY","TAKER","MARKET","BTC-USD","34685","0.3299","5.72129"
"2023-11-02T13:31:24.911Z","SELL","TAKER","MARKET","BTC-USD","35161","0.1254","2.204594"
"2023-11-02T13:31:24.911Z","SELL","TAKER","MARKET","BTC-USD","35161","0.5746","10.101755"
"2023-11-02T13:30:40.866Z","SELL","TAKER","MARKET","BTC-USD","35153","0.3","5.27295"
"2023-11-02T10:03:21.772Z","BUY","TAKER","MARKET","BTC-USD","35387","0.3","5.30805"
"2023-11-02T10:02:01.753Z","BUY","TAKER","MARKET","ETH-USD","1833.5","1.5","1.375125"
"2023-11-02T09:58:34.541Z","BUY","TAKER","MARKET","BTC-USD","35410","0.33","5.84265"
"2023-11-02T09:58:34.541Z","BUY","TAKER","MARKET","BTC-USD","35410","0.02","0.3541"
"2023-11-02T06:11:17.917Z","SELL","TAKER","MARKET","BTC-USD","35162","0.35","6.15335"
"2023-11-02T05:08:22.044Z","SELL","TAKER","MARKET","BTC-USD","35430","0.1975","3.498712"
"2023-11-02T05:08:22.044Z","SELL","TAKER","MARKET","BTC-USD","35430","0.2295","4.065592"
"2023-11-01T18:21:12.441Z","BUY","TAKER","MARKET","BTC-USD","34559","0.427","7.378346"
"2023-11-01T18:20:21.564Z","BUY","TAKER","MARKET","ETH-USD","1819.2","2","1.8192"
"2023-11-01T18:20:05.523Z","BUY","TAKER","MARKET","BTC-USD","34540","0.7","12.089"
"2023-11-01T13:42:48.318Z","SELL","TAKER","MARKET","ETH-USD","1798.9","2","1.7989"
"2023-11-01T13:41:10.268Z","SELL","TAKER","MARKET","BTC-USD","34530","0.7","12.0855"
"2023-11-01T13:41:01.222Z","SELL","TAKER","MARKET","BTC-USD","34524","0.3","5.1786"
"2023-11-01T12:37:33.526Z","BUY","TAKER","MARKET","BTC-USD","34456","0.289","4.978892"
"2023-11-01T12:37:33.526Z","BUY","TAKER","MARKET","BTC-USD","34456","0.011","0.189508"
"2023-11-01T11:37:44.554Z","BUY","TAKER","MARKET","ETH-USD","1797.7","0.333","0.299317"
"2023-11-01T11:37:44.554Z","BUY","TAKER","MARKET","ETH-USD","1797.7","1.667","1.498382"
"2023-11-01T11:21:19.828Z","SELL","TAKER","MARKET","ETH-USD","1793.1","2","1.7931"
